N03309-8 [um],N03309-8 %T,N03310-8E [um],N03310-8E %T,N03903-9 [um],N03903-9 %T,N03946-4 [um],N03946-4 %T,N03946-4 (nom) [um],N03946-4 (nom) %T,N07904-9 [um],N07904-9 %T,N08909-9O [um],N08909-9O %T,N09145-9 [um],N09145-9 %T,N09788-9P [um],N09788-9P %T,N12520-9 [um],N12520-9 %T
2.81,0,3.2,0,3.3,0,3.51,0,3.5,0,7.01,0,8.01,0,8.31,0,8.52,0,11.51,0
3.1,0,3.23,0.38,3.53,0,3.71,0,3.71,0.38,7.36,0.5,8.22,0,8.46,0,8.83,0,11.58,0.49
3.13,0.13,3.24,1.14,3.54,2.02,3.73,0.59,3.73,0.38,7.4,1,8.28,0.5,8.52,1,8.92,0.49,11.65,1.47
3.16,0.55,3.25,1.89,3.56,3.54,3.75,1.57,3.75,1.14,7.43,1.5,8.33,1.5,8.58,2.5,8.98,1.47,11.71,2.94
3.18,1.75,3.25,2.65,3.57,7.07,3.77,2.94,3.76,2.28,7.45,3,8.36,3,8.6,3.5,9.03,2.45,11.74,3.92
3.19,3.92,3.25,3.79,3.58,11.62,3.78,4.51,3.77,3.8,7.48,5,8.39,5,8.62,5,9.07,3.92,11.76,4.9
3.2,7.27,3.26,5.3,3.58,16.67,3.79,6.86,3.78,6.46,7.5,7,8.43,7.5,8.64,7.5,9.09,5.39,11.77,6.86
3.21,11.6,3.26,7.2,3.59,26.77,3.8,10.39,3.79,8.37,7.51,10,8.45,11,8.67,10,9.12,7.84,11.79,8.82
3.22,18.29,3.26,10.98,3.6,37.88,3.81,17.06,3.8,13.69,7.53,15.5,8.47,16.5,8.68,14,9.14,11.27,11.81,10.78
3.23,28.32,3.27,14.39,3.61,47.98,3.82,23.92,3.81,21.67,7.55,26.5,8.5,25.5,8.7,20,9.15,15.69,11.83,13.73
3.24,47.38,3.27,19.32,3.61,62.63,3.82,34.51,3.82,33.84,7.57,45.5,8.53,43,8.72,26.5,9.18,26.47,11.84,16.67
3.25,61.14,3.27,26.14,3.63,73.74,3.83,45.1,3.83,47.53,7.6,66,8.55,53,8.74,35.5,9.22,48.53,11.85,19.61
3.25,69.01,3.27,38.26,3.63,77.78,3.84,56.86,3.84,61.98,7.62,77,8.57,62.5,8.76,48,9.24,65.2,11.87,24.02
3.25,72.74,3.28,50.38,3.64,80.3,3.85,67.45,3.85,73.76,7.63,80.5,8.6,70,8.79,61,9.26,74.02,11.88,28.43
3.26,75.5,3.28,63.26,3.65,81.82,3.85,75.88,3.86,80.23,7.65,83,8.62,74.5,8.81,71.5,9.28,78.43,11.9,33.33
3.26,77.27,3.28,70.08,3.66,83.33,3.86,81.96,3.86,83.27,7.66,84.5,8.63,77,8.82,78,9.3,82.35,11.92,40.2
3.27,78.07,3.28,73.48,3.68,83.84,3.87,84.71,3.87,85.17,7.68,85.5,8.65,80,8.84,83,9.32,85.29,11.94,45.1
3.28,78.86,3.29,75.38,3.69,84.34,3.88,86.47,3.87,86.31,7.71,86.5,8.66,82,8.85,85.5,9.32,86.27,11.97,50.49
3.29,79.86,3.29,76.52,3.71,83.84,3.89,87.25,3.88,87.07,7.74,87.5,8.68,83,8.87,87,9.34,87.25,11.98,54.41
3.3,81.04,3.29,77.65,3.72,83.84,3.9,87.06,3.89,87.07,7.77,88.5,8.7,84,8.88,87.5,9.36,87.25,12,59.31
3.31,81.84,3.29,78.41,3.74,82.83,3.91,87.06,3.9,87.07,7.8,89,8.73,84.5,8.9,88,9.39,87.25,12.02,63.73
3.32,82.05,3.29,78.41,3.75,81.31,3.92,88.04,3.91,87.83,7.82,90,8.76,84.5,8.94,88,9.4,86.27,12.04,68.14
3.33,82.06,3.3,78.41,3.76,79.8,3.93,89.02,3.92,88.59,7.84,90.5,8.79,85.5,8.98,87,9.42,85.29,12.07,71.57
3.35,81.68,3.3,78.03,3.77,77.27,3.94,89.02,3.93,88.59,7.87,91.5,8.82,86.5,9.01,86.5,9.45,83.82,12.09,74.51
3.36,79.72,3.3,78.03,3.77,74.24,3.95,89.02,3.94,89.35,7.92,91.5,8.86,87,9.03,86,9.47,82.84,12.12,75.98
3.36,78.16,3.3,77.65,3.78,68.18,3.96,88.63,3.95,88.97,7.96,91.5,8.89,87,9.05,86,9.49,82.84,12.15,76.47
3.37,75.21,3.31,77.27,3.79,62.12,3.97,87.25,3.96,88.21,7.98,91,8.91,86.5,9.07,85.5,9.51,82.84,12.17,76.96
3.37,67.56,3.31,76.89,3.8,51.01,3.98,86.67,3.97,87.83,8,90,8.98,86.5,9.1,86,9.53,84.31,12.2,78.43
3.38,59.7,3.31,76.89,3.81,42.93,3.99,86.27,3.97,87.07,8.04,89,9,87,9.13,86,9.55,85.29,12.24,81.37
