Wavelength [um]	   Norm. Transmission [%]
9.000	     0.000030
9.001	     0.000030
9.002	     0.000029
9.003	     0.000030
9.004	     0.000031
9.005	     0.000032
9.006	     0.000034
9.007	     0.000037
9.008	     0.000039
9.009	     0.000042
9.010	     0.000045
9.011	     0.000049
9.012	     0.000053
9.013	     0.000058
9.014	     0.000063
9.015	     0.000067
9.016	     0.000072
9.017	     0.000077
9.018	     0.000081
9.019	     0.000086
9.020	     0.000090
9.021	     0.000095
9.022	     0.000100
9.023	     0.000104
9.024	     0.000109
9.025	     0.000113
9.026	     0.000116
9.027	     0.000120
9.028	     0.000123
9.029	     0.000126
9.030	     0.000129
9.031	     0.000132
9.032	     0.000135
9.033	     0.000138
9.034	     0.000140
9.035	     0.000143
9.036	     0.000145
9.037	     0.000148
9.038	     0.000150
9.039	     0.000152
9.040	     0.000155
9.041	     0.000157
9.042	     0.000160
9.043	     0.000164
9.044	     0.000167
9.045	     0.000170
9.046	     0.000174
9.047	     0.000178
9.048	     0.000182
9.049	     0.000186
9.050	     0.000191
9.051	     0.000195
9.052	     0.000200
9.053	     0.000206
9.054	     0.000211
9.055	     0.000217
9.056	     0.000222
9.057	     0.000227
9.058	     0.000232
9.059	     0.000237
9.060	     0.000241
9.061	     0.000246
9.062	     0.000251
9.063	     0.000255
9.064	     0.000258
9.065	     0.000262
9.066	     0.000264
9.067	     0.000266
9.068	     0.000268
9.069	     0.000269
9.070	     0.000269
9.071	     0.000270
9.072	     0.000269
9.073	     0.000268
9.074	     0.000267
9.075	     0.000265
9.076	     0.000262
9.077	     0.000258
9.078	     0.000254
9.079	     0.000250
9.080	     0.000245
9.081	     0.000240
9.082	     0.000235
9.083	     0.000230
9.084	     0.000225
9.085	     0.000219
9.086	     0.000213
9.087	     0.000207
9.088	     0.000201
9.089	     0.000195
9.090	     0.000189
9.091	     0.000184
9.092	     0.000179
9.093	     0.000174
9.094	     0.000169
9.095	     0.000164
9.096	     0.000160
9.097	     0.000156
9.098	     0.000153
9.099	     0.000149
9.100	     0.000147
9.101	     0.000145
9.102	     0.000143
9.103	     0.000141
9.104	     0.000140
9.105	     0.000139
9.106	     0.000139
9.107	     0.000138
9.108	     0.000138
9.109	     0.000139
9.110	     0.000139
9.111	     0.000140
9.112	     0.000142
9.113	     0.000143
9.114	     0.000145
9.115	     0.000147
9.116	     0.000149
9.117	     0.000151
9.118	     0.000153
9.119	     0.000156
9.120	     0.000158
9.121	     0.000161
9.122	     0.000164
9.123	     0.000167
9.124	     0.000170
9.125	     0.000173
9.126	     0.000177
9.127	     0.000180
9.128	     0.000184
9.129	     0.000187
9.130	     0.000191
9.131	     0.000195
9.132	     0.000199
9.133	     0.000203
9.134	     0.000207
9.135	     0.000211
9.136	     0.000215
9.137	     0.000219
9.138	     0.000223
9.139	     0.000227
9.140	     0.000231
9.141	     0.000235
9.142	     0.000239
9.143	     0.000243
9.144	     0.000247
9.145	     0.000251
9.146	     0.000255
9.147	     0.000259
9.148	     0.000263
9.149	     0.000267
9.150	     0.000270
9.151	     0.000274
9.152	     0.000278
9.153	     0.000281
9.154	     0.000285
9.155	     0.000288
9.156	     0.000292
9.157	     0.000295
9.158	     0.000299
9.159	     0.000303
9.160	     0.000306
9.161	     0.000310
9.162	     0.000314
9.163	     0.000317
9.164	     0.000321
9.165	     0.000324
9.166	     0.000328
9.167	     0.000331
9.168	     0.000335
9.169	     0.000338
9.170	     0.000341
9.171	     0.000345
9.172	     0.000348
9.173	     0.000351
9.174	     0.000353
9.175	     0.000356
9.176	     0.000358
9.177	     0.000361
9.178	     0.000363
9.179	     0.000365
9.180	     0.000367
9.181	     0.000368
9.182	     0.000369
9.183	     0.000369
9.184	     0.000369
9.185	     0.000369
9.186	     0.000368
9.187	     0.000367
9.188	     0.000365
9.189	     0.000363
9.190	     0.000361
9.191	     0.000358
9.192	     0.000355
9.193	     0.000351
9.194	     0.000347
9.195	     0.000342
9.196	     0.000337
9.197	     0.000332
9.198	     0.000327
9.199	     0.000321
9.200	     0.000316
9.201	     0.000311
9.202	     0.000305
9.203	     0.000299
9.204	     0.000293
9.205	     0.000287
9.206	     0.000281
9.207	     0.000276
9.208	     0.000271
9.209	     0.000267
9.210	     0.000263
9.211	     0.000259
9.212	     0.000255
9.213	     0.000252
9.214	     0.000249
9.215	     0.000247
9.216	     0.000245
9.217	     0.000244
9.218	     0.000243
9.219	     0.000243
9.220	     0.000244
9.221	     0.000245
9.222	     0.000247
9.223	     0.000248
9.224	     0.000250
9.225	     0.000253
9.226	     0.000255
9.227	     0.000259
9.228	     0.000263
9.229	     0.000267
9.230	     0.000271
9.231	     0.000275
9.232	     0.000279
9.233	     0.000283
9.234	     0.000287
9.235	     0.000291
9.236	     0.000294
9.237	     0.000298
9.238	     0.000302
9.239	     0.000305
9.240	     0.000308
9.241	     0.000310
9.242	     0.000312
9.243	     0.000313
9.244	     0.000314
9.245	     0.000314
9.246	     0.000314
9.247	     0.000313
9.248	     0.000312
9.249	     0.000310
9.250	     0.000308
9.251	     0.000305
9.252	     0.000301
9.253	     0.000297
9.254	     0.000292
9.255	     0.000287
9.256	     0.000281
9.257	     0.000275
9.258	     0.000268
9.259	     0.000262
9.260	     0.000255
9.261	     0.000248
9.262	     0.000240
9.263	     0.000232
9.264	     0.000224
9.265	     0.000216
9.266	     0.000208
9.267	     0.000200
9.268	     0.000193
9.269	     0.000186
9.270	     0.000179
9.271	     0.000172
9.272	     0.000165
9.273	     0.000158
9.274	     0.000152
9.275	     0.000147
9.276	     0.000142
9.277	     0.000137
9.278	     0.000133
9.279	     0.000130
9.280	     0.000127
9.281	     0.000125
9.282	     0.000123
9.283	     0.000121
9.284	     0.000120
9.285	     0.000120
9.286	     0.000121
9.287	     0.000122
9.288	     0.000123
9.289	     0.000125
9.290	     0.000128
9.291	     0.000131
9.292	     0.000135
9.293	     0.000139
9.294	     0.000143
9.295	     0.000148
9.296	     0.000153
9.297	     0.000159
9.298	     0.000165
9.299	     0.000171
9.300	     0.000178
9.301	     0.000185
9.302	     0.000191
9.303	     0.000198
9.304	     0.000206
9.305	     0.000213
9.306	     0.000221
9.307	     0.000229
9.308	     0.000237
9.309	     0.000245
9.310	     0.000252
9.311	     0.000260
9.312	     0.000268
9.313	     0.000275
9.314	     0.000283
9.315	     0.000291
9.316	     0.000298
9.317	     0.000306
9.318	     0.000313
9.319	     0.000320
9.320	     0.000326
9.321	     0.000332
9.322	     0.000339
9.323	     0.000345
9.324	     0.000350
9.325	     0.000356
9.326	     0.000361
9.327	     0.000365
9.328	     0.000370
9.329	     0.000373
9.330	     0.000377
9.331	     0.000380
9.332	     0.000382
9.333	     0.000384
9.334	     0.000386
9.335	     0.000387
9.336	     0.000389
9.337	     0.000389
9.338	     0.000390
9.339	     0.000390
9.340	     0.000389
9.341	     0.000388
9.342	     0.000387
9.343	     0.000386
9.344	     0.000385
9.345	     0.000383
9.346	     0.000382
9.347	     0.000380
9.348	     0.000378
9.349	     0.000376
9.350	     0.000374
9.351	     0.000371
9.352	     0.000369
9.353	     0.000368
9.354	     0.000366
9.355	     0.000365
9.356	     0.000364
9.357	     0.000364
9.358	     0.000363
9.359	     0.000363
9.360	     0.000363
9.361	     0.000364
9.362	     0.000365
9.363	     0.000367
9.364	     0.000369
9.365	     0.000371
9.366	     0.000374
9.367	     0.000378
9.368	     0.000382
9.369	     0.000386
9.370	     0.000390
9.371	     0.000396
9.372	     0.000401
9.373	     0.000407
9.374	     0.000413
9.375	     0.000420
9.376	     0.000427
9.377	     0.000435
9.378	     0.000443
9.379	     0.000451
9.380	     0.000460
9.381	     0.000468
9.382	     0.000477
9.383	     0.000486
9.384	     0.000496
9.385	     0.000505
9.386	     0.000515
9.387	     0.000525
9.388	     0.000536
9.389	     0.000546
9.390	     0.000556
9.391	     0.000567
9.392	     0.000577
9.393	     0.000588
9.394	     0.000599
9.395	     0.000611
9.396	     0.000622
9.397	     0.000633
9.398	     0.000644
9.399	     0.000654
9.400	     0.000665
9.401	     0.000676
9.402	     0.000687
9.403	     0.000698
9.404	     0.000709
9.405	     0.000719
9.406	     0.000730
9.407	     0.000739
9.408	     0.000748
9.409	     0.000757
9.410	     0.000766
9.411	     0.000775
9.412	     0.000783
9.413	     0.000791
9.414	     0.000798
9.415	     0.000804
9.416	     0.000810
9.417	     0.000815
9.418	     0.000819
9.419	     0.000823
9.420	     0.000826
9.421	     0.000828
9.422	     0.000830
9.423	     0.000831
9.424	     0.000831
9.425	     0.000831
9.426	     0.000830
9.427	     0.000827
9.428	     0.000825
9.429	     0.000821
9.430	     0.000817
9.431	     0.000812
9.432	     0.000808
9.433	     0.000803
9.434	     0.000797
9.435	     0.000792
9.436	     0.000786
9.437	     0.000779
9.438	     0.000773
9.439	     0.000766
9.440	     0.000759
9.441	     0.000752
9.442	     0.000746
9.443	     0.000740
9.444	     0.000735
9.445	     0.000730
9.446	     0.000725
9.447	     0.000720
9.448	     0.000715
9.449	     0.000711
9.450	     0.000708
9.451	     0.000705
9.452	     0.000703
9.453	     0.000701
9.454	     0.000701
9.455	     0.000701
9.456	     0.000701
9.457	     0.000702
9.458	     0.000703
9.459	     0.000705
9.460	     0.000707
9.461	     0.000709
9.462	     0.000712
9.463	     0.000716
9.464	     0.000719
9.465	     0.000724
9.466	     0.000728
9.467	     0.000732
9.468	     0.000737
9.469	     0.000741
9.470	     0.000744
9.471	     0.000748
9.472	     0.000751
9.473	     0.000755
9.474	     0.000759
9.475	     0.000762
9.476	     0.000765
9.477	     0.000767
9.478	     0.000769
9.479	     0.000771
9.480	     0.000771
9.481	     0.000772
9.482	     0.000771
9.483	     0.000771
9.484	     0.000770
9.485	     0.000769
9.486	     0.000767
9.487	     0.000765
9.488	     0.000763
9.489	     0.000760
9.490	     0.000756
9.491	     0.000752
9.492	     0.000748
9.493	     0.000743
9.494	     0.000739
9.495	     0.000735
9.496	     0.000731
9.497	     0.000727
9.498	     0.000723
9.499	     0.000719
9.500	     0.000715
9.501	     0.000711
9.502	     0.000708
9.503	     0.000705
9.504	     0.000703
9.505	     0.000701
9.506	     0.000700
9.507	     0.000700
9.508	     0.000701
9.509	     0.000702
9.510	     0.000703
9.511	     0.000706
9.512	     0.000709
9.513	     0.000713
9.514	     0.000718
9.515	     0.000724
9.516	     0.000731
9.517	     0.000739
9.518	     0.000748
9.519	     0.000757
9.520	     0.000768
9.521	     0.000779
9.522	     0.000791
9.523	     0.000804
9.524	     0.000817
9.525	     0.000831
9.526	     0.000846
9.527	     0.000862
9.528	     0.000878
9.529	     0.000896
9.530	     0.000913
9.531	     0.000931
9.532	     0.000948
9.533	     0.000966
